abandon ,পরিত্যাগ করা
ability ,ক্ষমতা
able ,সক্ষম
about ,সম্পর্কিত
above ,উপরে
abroad ,বিদেশে
absence ,অনুপস্থিতি
absolute ,পরম
absolutely ,একেবারে
absorb ,শোষণ
abuse ,অপব্যবহার
academic ,একাডেমিক
accept ,গ্রহণ
acceptable ,গ্রহণযোগ্য
access ,অ্যাক্সেস
accident ,দুর্ঘটনা
accommodation ,থাকার ব্যবস্থা
accompany ,সাথে
according to ,অনুসারে
account ,হিসাব
accurate ,নির্ভুল
accuse ,অভিযুক্ত করা
achieve ,অর্জন
achievement ,কৃতিত্ব
acid ,অ্যাসিড
acknowledge ,স্বীকৃতি
acquire ,অর্জন
across ,ওপারে
act ,আইন
action ,কর্ম
active ,সক্রিয়
activist ,কর্মী
activity ,ক্রিয়াকলাপ
actor ,অভিনেতা
actual ,আসল
actually ,আসলে
ad ,বিজ্ঞাপন
adapt ,অভিযোজিত
add ,যোগ করুন
addition ,যোগ
additional ,অতিরিক্ত
address ,ঠিকানা
adequate ,পর্যাপ্ত
adjust ,সামঞ্জস্য করুন
administration ,প্রশাসন
administrative ,প্রশাসনিক
admire ,প্রশংসা
admission ,ভর্তি
admit ,মানা
adopt ,গ্রহণ
adult ,প্রাপ্তবয়স্ক
advance ,অগ্রিম
advanced ,উন্নত
advantage ,সুবিধা
advert ,বিজ্ঞাপন
advertise ,বিজ্ঞাপন
advertisement ,বিজ্ঞাপন
advertising ,বিজ্ঞাপন
advice ,পরামর্শ
advise ,পরামর্শ
adviser ,উপদেষ্টা
affair ,বিষয়
affect ,প্রভাবিত
afford ,সামর্থ
afraid ,ভীত
after ,পরে
afternoon ,বিকেল
afterwards ,পরে
again ,আবার
against ,বিরুদ্ধে
age ,বয়স
aged ,বুড়া
agency ,সংস্থা
agent ,প্রতিনিধি
aggressive ,আক্রমণাত্মক
ago ,আগে
agree ,একমত
agreement ,চুক্তি
agriculture ,কৃষি
ahead ,এগিয়ে
aid ,সাহায্য
aim ,লক্ষ্য
air ,বায়ু
aircraft ,বিমান
airline ,বিমান সংস্থা
airport ,বিমানবন্দর
alarm ,অ্যালার্ম
album ,অ্যালবাম
alcohol ,অ্যালকোহল
alive ,জীবিত
all ,সব
all right ,ঠিক আছে
allow ,অনুমতি দিন
allowance ,ভাতা
almost ,প্রায়
alone ,একা
along ,বরাবর
alongside ,পাশাপাশি
already ,ইতিমধ্যে
also ,এছাড়াও
alter ,পরিবর্তন
alternative ,বিকল্প
although ,যদিও
altogether ,পুরোপুরি
always ,সর্বদা
amazing ,আশ্চর্যজনক
ambition ,উচ্চাশা
ambulance ,অ্যাম্বুলেন্স
among ,মধ্যে
amount ,পরিমাণ
an ,একটি
analyse ,বিশ্লেষণ
analysis ,বিশ্লেষণ
analyst ,বিশ্লেষক
ancient ,প্রাচীন
and ,এবং
anger ,রাগ
angle ,কোণ
angry ,রাগান্বিত
animal ,প্রাণী
announce ,ঘোষণা করা
announcement ,ঘোষণা
annoy ,বিরক্ত করা
annual ,বার্ষিক
another ,অন্য
answer ,উত্তর
anticipate ,পূর্বানুমান
anxiety ,উদ্বেগ
anxious ,উদ্বিগ্ন
any ,যে কোন
anybody ,যে কেউ
anyhow ,যাইহোক
anyone ,যে কেউ
anything ,কিছু
anyway ,যাইহোক
anywhere ,কোথাও
apart ,পৃথক্
apartment ,অ্যাপার্টমেন্ট
apologize ,ক্ষমা প্রার্থনা
apology ,ক্ষমা
apparent ,আপাত
apparently ,স্পষ্টতই
appeal ,আবেদন
appear ,হাজির
appearance ,চেহারা
apple ,আপেল
application ,প্রয়োগ
apply ,প্রয়োগ
appoint ,নিয়োগ
appointment ,অ্যাপয়েন্টমেন্ট
appreciate ,প্রশংসা
approach ,পন্থা
appropriate ,যথাযথ
approval ,অনুমোদন
approve ,অনুমোদন
approximate ,আনুমানিক
architect ,স্থপতি
architecture ,আর্কিটেকচার
area ,অঞ্চল
argue ,তর্ক
argument ,যুক্তি
arise ,উত্থিত
arm ,বাহু
armed ,সশস্ত্র
army ,সেনা
around ,কাছাকাছি
arrange ,ব্যবস্থা করা
arrangement ,ব্যবস্থা
arrest ,গ্রেফতার
arrival ,আগমন
arrive ,আগমন
art ,শিল্প
article ,নিবন্ধ
artificial ,কৃত্রিম
artist ,শিল্পী
as ,যেমন
ashamed ,লজ্জিত
aside ,একপাশে
ask ,জিজ্ঞাসা
asleep ,নিদ্রা
aspect ,দিক
assess ,মূল্যায়ন
assessment ,মূল্যায়ন
assignment ,অ্যাসাইনমেন্ট
assist ,সহায়তা করুন
assistance ,সহায়তা
assistant ,সহকারী
associate ,সহযোগী
association ,সংঘ
assume ,ধরে নেওয়া
assumption ,ধৃষ্টতা
assure ,আশ্বাস দিন
at ,at
atmosphere ,পরিবেশ
attach ,সংযুক্ত করা
attack ,আক্রমণ
attempt ,চেষ্টা
attend ,উপস্থিত
attention ,মনোযোগ
attitude ,মনোভাব
attorney ,অ্যাটর্নি
attract ,আকর্ষণ
attraction ,আকর্ষণ
attractive ,আকর্ষণীয়
audience ,শ্রোতা
aunt ,খালা
author ,লেখক
authority ,কর্তৃত্ব
automatic ,স্বয়ংক্রিয়
automatically ,স্বয়ংক্রিয়ভাবে
autumn ,শরত
available ,উপলব্ধ
average ,গড়
avoid ,এড়ানোর
awake ,জাগ্রত
award ,পুরষ্কার
aware ,সচেতন
awareness ,সচেতনতা
away ,দূরে
awful ,"ভয়াবহ, আতঙ্কজনক"
awkward ,বিশ্রী
