baby ,বাচ্চা,Mr. Rahim has adopted a baby from orphanage.
back ,পেছনে,Do not turn back in exam hall.
background ,পটভূমি,The police checked the background of the  suspect.
backwards ,পিছনে,"Its evolving, just backwards."
bacon ,বেকন,I hate bacon as a food.
bad ,খারাপ,"Unfortunately, I am having a bad day."
badly ,খারাপভাবে,The player is badly injured.
bag ,থলে,He took all the vegetable in the bag.
bake ,বেক করুন,My mom bakes cake for me.
balance ,ভারসাম্য,I is hard to keep balance in space.
ball ,বল,The kid wanted to buy a ball.
ban ,নিষেধাজ্ঞা,Muslim should ban Israel products
band ,ব্যান্ড,My favourite band is LRB.
bang ,ঠুং ঠুং শব্দ,I heard a bang in my backyard.
bank ,ব্যাংক,Don’t keep your money in non-islamic Bank.
bar ,বার,The person behind the bar is called Bartender.
barrier ,বাধা,Police made a barrier to stop the protesters.
base ,বেস,The base of the building is weak.
baseball ,বেসবল,Baseball is a famous sport in Japan.
basic ,বেসিক,You shoud have the basic knowledge of Mathematics.
basically ,মূলত,Basically everyone is bound to follow the constitution.
basis ,ভিত্তি,People should be judged on the basis of their character.
basket ,ঝুড়ি,I bought a basket of mango.
bat ,ব্যাট,Bat is a instrument for cricket.
bath ,স্নান,I take my bath regularly to stay clean.
bathroom ,পায়খানা,Bathroom should be kept clean daily.
battery ,ব্যাটারি,The mobile battery is still healthy.
battle ,যুদ্ধ,It’s the battle in our minds that is the important battle.
be ,থাকা,I wont to an Youtuber.
beach ,সৈকত,Cox's bazar is the world's longest natural sea beach.
bean ,শিম,Beans are good for health.
bear ,ভালুক,The polar bears are white in color.
beard ,দাড়ি,We should keep beard as a muslim.
beat ,বীট,"Unfortunately, Superman couldn’t beat Darksied."
beautiful ,সুন্দর,Bangladesh is a beautiful country.
beauty ,সৌন্দর্য,Don’t judge people by their beauty.
because ,কারণ,I took the covid test because I was sick.
become ,হত্তয়া,My sister wants to become a doctor.
bed ,বিছানা,I love to sleep in my own bed.
bedroom ,শয়নকক্ষ,We should not play in the bedroom.
beef ,গরুর মাংস,I love beef as food.
beer ,বিয়ার,Beer is bad for health.
before ,আগে,Our train arrived before the scheduled time.
beforehand ,আগেই,She had phoned beforehand to let me know she was coming.
begin ,শুরু,
beginning ,শুরু,
behalf ,পক্ষে,
behave ,আচরণ,
behaviour ,আচরণ,
behind ,পিছনে,
being ,হচ্ছে,
belief ,বিশ্বাস,
believe ,বিশ্বাস,
bell ,বেল,
belong ,অন্তর্গত,
below ,নিচে,
belt ,বেল্ট,
bench ,এজলাস,
bend ,বাঁকানো,
beneath ,নীচে,
benefit ,উপকার,
beside ,পাশে,
best ,সেরা,
bet ,বাজি,
better ,উত্তম,
between ,মধ্যে,
beyond ,তার পরেও,
bicycle ,সাইকেল,
bid ,বিড,
big ,বৃহৎ,
bike ,বাইক,
bill ,বিল,
bin ,বিন,
bird ,পাখি,
birth ,জন্ম,
birthday ,জন্মদিন,
biscuit ,বিস্কুট,
bit ,বিট,
bite ,কামড়,
bitter ,তেতো,
black ,কালো,
blade ,ব্লেড,
blame ,দোষ,
blank ,ফাঁকা,
bless ,আশীর্বাদ করুন,
blind ,অন্ধ,
block ,ব্লক,
bloke ,ফোঁটা,
blonde ,স্বর্ণকেশী,
blood ,রক্ত,
blow ,ঘা,
blue ,নীল,
board ,বোর্ড,
boat ,নৌকা,
body ,শরীর,
boil ,ফুটান,
boiler ,বয়লার,
boiling ,ফুটন্ত,
bomb ,বোমা,
bone ,হাড়,
bonus ,বোনাস,
book ,বই,
boom ,বুম,
boot ,বুট,
border ,সীমানা,
bored ,বিরক্ত,
boring ,বিরক্তিকর,
born ,জন্ম,
borrow ,ধার,
boss ,বস,
both ,উভয়,
bother ,বিরক্ত,
bottle ,বোতল,
bottom ,নীচে,
bounce ,বাউন্স,
bound ,আবদ্ধ,
bowl ,বাটি,
box ,বাক্স,
boy ,ছেলে,
boyfriend ,প্রেমিক,
brain ,মস্তিষ্ক,
branch ,শাখা,
brave ,সাহসী,
bread ,রুটি,
break ,বিরতি,
breakfast ,প্রাতঃরাশ,
breast ,স্তন,
breath ,শ্বাস,
breathe ,শ্বাস,
brick ,ইট,
bridge ,ব্রিজ,
brief ,সংক্ষিপ্ত,
briefly ,সংক্ষেপে,
bright ,উজ্জ্বল,
brilliant ,উজ্জ্বল,
bring ,আনা,
broad ,বিস্তৃত,
brother ,ভাই,
brown ,বাদামী,
brush ,ব্রাশ,
buck ,বক,
bucket ,বালতি,
buddy ,বন্ধু,
budget ,বাজেট,
bug ,বাগ,
build ,বিল্ড,
builder ,নির্মাতা,
building ,বিল্ডিং,
bump ,ফেলা,
bunch ,গুচ্ছ,
burn ,পোড়া,
burst ,ফেটে,
bury ,কবর দেওয়া,
bus ,বাস,
business ,ব্যবসা,
busy ,ব্যস্ত,
but ,কিন্তু,
butcher ,কসাই,
butter ,মাখন,
button ,বোতাম,
buy ,কেনা,
buyer ,ক্রেতা,
by ,দ্বারা,
bye ,বিদায়,
bye  ,বিদায়,
