dad ,বাবা
daddy ,বাবা
daft ,খালি
daily ,প্রতিদিন
damage ,ক্ষতি
dance ,নাচ
danger ,বিপদ
dangerous ,বিপজ্জনক
dare ,সাহস
dark ,অন্ধকার
darkness ,অন্ধকার
darling ,প্রিয়তম
data ,তথ্য
database ,তথ্যশালা
date ,তারিখ
daughter ,কন্যা
day ,দিন
dead ,মৃত
deaf ,বধির
deal ,চুক্তি
dealer ,ব্যবসায়ী
dear ,প্রিয়
dear  ,প্রিয়
death ,মৃত্যু
debate ,বিতর্ক
debt ,debtণ
decade ,দশক
decent ,শালীন
decide ,সিদ্ধান্ত
decision ,সিদ্ধান্ত
declare ,ঘোষণা
decline ,পতন
deep ,গভীর
deeply ,গভীরভাবে
defeat ,পরাজয়
defence ,প্রতিরক্ষা
defend ,রক্ষা করা
define ,সংজ্ঞায়িত করা
definite ,নির্দিষ্ট
definitely ,স্পষ্টভাবে
definition ,সংজ্ঞা
degree ,ডিগ্রি
delay ,বিলম্ব
deliberately ,ভেবেচিন্তে
deliver ,বিতরণ
delivery ,বিতরণ
demand ,চাহিদা
democracy ,গণতন্ত্র
democratic ,গণতান্ত্রিক
demonstrate ,প্রদর্শন
demonstration ,প্রদর্শন
dentist ,চিকিত্সক
deny ,অস্বীকার
department ,বিভাগ
departure ,প্রস্থান
depend ,নির্ভর
dependent ,নির্ভরশীল
deposit ,জমা
depression ,বিষণ্ণতা
depth ,গভীরতা
derive ,প্রাপ্ত
describe ,বর্ণনা
description ,বর্ণনা
desert ,মরুভূমি
deserve ,প্রাপ্য
design ,নকশা
designer ,নকশাকার
desire ,ইচ্ছা
desk ,ডেস্ক
desperate ,মরিয়া
despite ,সত্ত্বেও
destroy ,ধ্বংস
destruction ,ধ্বংস
detail ,বিশদ
detailed ,বিশদ
detect ,সনাক্ত
determination ,সংকল্প
determine ,নির্ধারণ
determined ,সংকল্পবদ্ধ
develop ,বিকাশ
development ,বিকাশ
device ,যন্ত্র
devil ,শয়তান
diagram ,চিত্র
diamond ,হীরা
diary ,ডায়েরি
die ,মারা
diet ,ডায়েট
differ ,পার্থক্য
difference ,পার্থক্য
different ,বিভিন্ন
difficult ,কঠিন
difficulty ,অসুবিধা
dig ,খনন করা
dimension ,মাত্রা
dinner ,রাতের খাবার
direct ,সরাসরি
direction ,অভিমুখ
directly ,সরাসরি
director ,পরিচালক
directory ,ডিরেক্টরি
dirt ,ময়লা
dirty ,নোংরা
disabled ,অক্ষম
disagree ,অসমত
disappear ,অদৃশ্য
disappoint ,হতাশ
disappointed ,হতাশ
disaster ,বিপর্যয়
disc ,ডিস্ক
discipline ,শৃঙ্খলা
discount ,ছাড়
discover ,আবিষ্কার
discovery ,আবিষ্কার
discuss ,আলোচনা করা
discussion ,আলোচনা
disease ,রোগ
disgusting ,জঘন্য
dish ,থালা
disk ,ডিস্ক
dismiss ,বরখাস্ত করা
display ,প্রদর্শন
dispute ,বিতর্ক
distance ,দূরত্ব
distant ,দূর
distinct ,স্বতন্ত্র
distinction ,পার্থক্য
distinguish ,পার্থক্য করা
distribute ,বিতরণ
distribution ,বিতরণ
district ,জেলা
disturb ,ঝামেলা
divide ,বিভক্ত করা
division ,বিভাগ
divorce ,বিবাহবিচ্ছেদ
do ,কর
doctor ,ডাক্তার
document ,দলিল
dog ,কুকুর
dollar ,ডলার
domestic ,গার্হস্থ্য
dominant ,প্রভাবশালী
dominate ,আয়ত্ত করা
door ,দরজা
dot ,বিন্দু
double ,দ্বিগুণ
doubt ,সন্দেহ
down ,নিচে
downstairs ,নীচে
downtown ,শহরের কেন্দ্রস্থল
dozen ,ডজন
draft ,খসড়া
drag ,টানুন
drama ,নাটক
dramatic ,নাটকীয়
draw ,আঁকুন
drawer ,ড্রয়ার
drawing ,অঙ্কন
dream ,স্বপ্ন
dress ,পোশাক
drink ,পান করা
drive ,ড্রাইভ
driver ,চালক
drop ,ড্রপ
drug ,ড্রাগ
drunk ,মাতাল
dry ,শুকনো
duck ,হাঁস
dude ,শহরবাসী
due ,বাকি
dull ,নিস্তেজ
dumb ,বোবা
dump ,ফেলা
during ,সময়
dust ,ধূলা
duty ,কর্তব্য
DVD ,ডিভিডি
