each ,প্রতিটি
each other ,একে অপরকে
ear ,কান
early ,তাড়াতাড়ি
earn ,উপার্জন
earth ,পৃথিবী
ease ,স্বাচ্ছন্দ্য
easily ,সহজেই
east ,পূর্ব
eastern ,পূর্ব
easy ,সহজ
eat ,খাওয়া
economic ,অর্থনৈতিক
economics ,অর্থনীতি
economy ,অর্থনীতি
edge ,প্রান্ত
edition ,সংস্করণ
editor ,সম্পাদক
education ,শিক্ষা
educational ,শিক্ষামূলক
efficiency ,দক্ষতা
efficient ,দক্ষ
effect ,প্রভাব
effective ,কার্যকর
effectively ,কার্যকরভাবে
effort ,প্রচেষ্টা
egg ,ডিম
either ,হয়
elderly ,প্রবীণ
elect ,নির্বাচিত
election ,নির্বাচন
electric ,বৈদ্যুতিক
electrical ,বৈদ্যুতিক
electricity ,বিদ্যুৎ
electronic ,বৈদ্যুতিক
element ,উপাদান
elevator ,লিফট
else ,অন্য
elsewhere ,অন্য কোথাও
email ,ইমেল
embarrassed ,বিব্রত
emerge ,উত্থান
emergency ,জরুরী
emotion ,আবেগ
emotional ,সংবেদনশীল
emphasis ,জোর
emphasize ,জোর দেওয়া
empire ,সাম্রাজ্য
employ ,নিয়োগ
employee ,কর্মচারী
employer ,নিয়োগকর্তা
employment ,কর্মসংস্থান
empty ,খালি
enable ,সক্ষম করুন
encounter ,মুখোমুখি
encourage ,উত্সাহ
encouraging ,উত্সাহজনক
end ,শেষ
enemy ,শত্রু
energy ,শক্তি
engage ,নিযুক্ত করা
engine ,ইঞ্জিন
engineer ,ইঞ্জিনিয়ার
engineering ,প্রকৌশল
enhance ,বাড়ান
enjoy ,উপভোগ করুন
enjoyable ,উপভোগ্য
enormous ,প্রচুর
enough ,যথেষ্ট
enquiry ,অনুসন্ধান
ensure ,নিশ্চিত করা
enter ,প্রবেশ করান
enterprise ,উদ্যোগ
entertainment ,বিনোদন
enthusiasm ,উত্সাহ
enthusiastic ,উদ্যমী
entire ,পুরো
entirely ,পুরোপুরি
entitle ,এনটাইটেল
entrance ,প্রবেশদ্বার
entry ,প্রবেশ
envelope ,খাম
environment ,পরিবেশ
environmental ,পরিবেশগত
equal ,সমান
equally ,সমানভাবে
equipment ,সরঞ্জাম
equivalent ,সমতুল্য
era ,যুগ
error ,ত্রুটি
escape ,পালানো
especially ,বিশেষত
essay ,প্রবন্ধ
essential ,অপরিহার্য
essentially ,মূলত
establish ,প্রতিষ্ঠিত
establishment ,প্রতিষ্ঠা
estate ,সম্পত্তি
estimate ,অনুমান
ethnic ,জাতিগত
even ,এমন কি
evening ,সন্ধ্যা
event ,ইভেন্ট
eventually ,অবশেষে
ever ,সর্বদা
every ,প্রতি
everybody ,সবাই
everyone ,সবাই
everything ,সব
everywhere ,সর্বত্র
evidence ,প্রমান
evil ,অশুভ
exact ,হুবহু
exactly ,ঠিক
exam ,পরীক্ষা
examination ,পরীক্ষা
examine ,পরীক্ষা করা
example ,উদাহরণ
excellent ,দুর্দান্ত
except ,বাদে
exception ,ব্যতিক্রম
exchange ,বিনিময়
excitement ,উত্তেজনা
exciting ,উত্তেজনাপূর্ণ
exclude ,বাদ দিন
excuse ,অজুহাত
executive ,কার্যনির্বাহী
exercise ,অনুশীলন
exhibition ,প্রদর্শনী
exist ,উপস্থিত
existence ,অস্তিত্ব
existing ,বিদ্যমান
exit ,প্রস্থান
expand ,বিস্তৃত করা
expansion ,প্রসারণ
expect ,প্রত্যাশা
expectation ,প্রত্যাশা
expenditure ,ব্যয়
expense ,ব্যয়
expensive ,ব্যয়বহুল
experience ,অভিজ্ঞতা
experienced ,অভিজ্ঞ
experiment ,পরীক্ষা
experimental ,পরীক্ষামূলক
expert ,বিশেষজ্ঞ
explain ,ব্যাখ্যা করা
explanation ,ব্যাখ্যা
explore ,অন্বেষণ
explosion ,বিস্ফোরণ
export ,এক্সপোর্ট
expose ,প্রকাশ করা
express ,প্রকাশ করা
expression ,অভিব্যক্তি
extend ,প্রসারিত করা
extension ,এক্সটেনশন
extensive ,বিস্তৃত
extent ,ব্যাপ্তি
external ,বাহ্যিক
extra ,অতিরিক্ত
extraordinary ,অসাধারণ
extreme ,চরম
extremely ,অত্যন্ত
eye ,চক্ষু
