gain ,লাভ করা
gallery ,গ্যালারী
game ,খেলা
gang ,গ্যাং
gap ,ফাঁক
garage ,গ্যারেজ
garbage ,আবর্জনা
garden ,উদ্যান
garlic ,রসুন
gas ,গ্যাস
gasoline ,পেট্রল
gate ,গেট
gather ,জড়ো করা
gay ,সমকামী
gear ,গিয়ার
gene ,জিন
general ,সাধারণ
generally ,সাধারণত
generate ,উত্পন্ন করা
generation ,প্রজন্ম
generous ,উদার
gentle ,মৃদু
gentleman ,ভদ্রলোক
gently ,আলতো করে
genuine ,অকৃত্রিম
get ,পাওয়া
giant ,দৈত্য
gift ,উপহার
girl ,মেয়ে
girlfriend ,বান্ধবী
give ,দিতে
glad ,আনন্দিত
glance ,এক পলক দেখা
glass ,গ্লাস
global ,গ্লোবাল
glove ,গ্লাভস
go ,যাওয়া
goal ,লক্ষ্য
god ,সৃষ্টিকর্তা
gold ,সোনার
golden ,সোনালী
golf ,গল্ফ
good ,ভাল
good morning  ,সুপ্রভাত
good night  ,শুভ রাত্রি
goodbye  ,বিদায়
goodness ,মঙ্গল
goods ,মাল
gorgeous ,টকটকে
gosh  ,গোশ
govern ,পরিচালনা
government ,সরকার
governor ,গভর্নর
grab ,দখল
grade ,শ্রেণী
gradually ,ধীরে ধীরে
gram ,ছোলা
grammar ,ব্যাকরণ
grand ,গ্র্যান্ড
grandad ,গ্র্যান্ডাড
grandfather ,দাদা
grandma ,ঠাকুমা
grandmother ,দাদী
grandpa ,পিতামহ
granny ,বৃদ্ধা
grant ,প্রদান
graph ,চিত্রলেখ
grass ,ঘাস
grateful ,কৃতজ্ঞ
great ,দুর্দান্ত
greatly ,ব্যাপকভাবে
green ,সবুজ
grey ,ধূসর
grocery ,মুদিখানা
gross ,স্থূল
ground ,স্থল
group ,দল
grow ,বৃদ্ধি
growth ,বৃদ্ধি
guarantee ,গ্যারান্টি
guard ,প্রহরী
guess ,অনুমান
guest ,অতিথি
guidance ,গাইডেন্স
guide ,গাইড
guilty ,দোষী
guitar ,গিটার
gun ,বন্দুক
guy ,লোক
