I ,আমি
ice ,বরফ
ice cream ,আইসক্রিম
idea ,ধারণা
ideal ,আদর্শ
ideally ,আদর্শভাবে
identify ,সনাক্ত
identity ,পরিচয়
idiot ,বোকা
if ,যদি
ignore ,উপেক্ষা
ill ,অসুস্থ
illegal ,অবৈধ
illness ,অসুস্থতা
illustrate ,চিত্রিত করা
image ,চিত্র
imagination ,কল্পনা
imagine ,কল্পনা
immediate ,তাত্ক্ষণিক
immediately ,অবিলম্বে
impact ,প্রভাব
implement ,বাস্তবায়ন
implication ,জড়িত
imply ,বোঝা
import ,আমদানি
importance ,গুরুত্ব
important ,গুরুত্বপূর্ণ
impose ,চাপিয়ে দেওয়া
impossible ,অসম্ভব
impress ,ছাপ
impression ,ছাপ
impressive ,চিত্তাকর্ষক
improve ,উন্নতি
improvement ,উন্নতি
in ,ভিতরে
inch ,ইঞ্চি
incident ,ঘটনা
include ,অন্তর্ভুক্ত
including ,সহ
income ,আয়
incorporate ,নিগমবদ্ধ
increase ,বৃদ্ধি
increasingly ,ক্রমবর্ধমানভাবে
incredible ,অবিশ্বাস্য
incredibly ,অবিশ্বাস্যভাবে
indeed ,প্রকৃতপক্ষে
independence ,স্বাধীনতা
independent ,স্বতন্ত্র
index ,সূচক
indicate ,ইঙ্গিত
indication ,ইঙ্গিত
individual ,স্বতন্ত্র
industrial ,শিল্প
industry ,শিল্প
inevitable ,অনিবার্য
inevitably ,অনিবার্যভাবে
infant ,শিশু
infection ,সংক্রমণ
inflation ,মূল্যস্ফীতি
influence ,প্রভাব
inform ,অবহিত
informal ,অনানুষ্ঠানিক
information ,তথ্য
initial ,প্রাথমিক
initially ,প্রাথমিকভাবে
initiative ,উদ্যোগ
injure ,আহত
injury ,আঘাত
inner ,অভ্যন্তরীণ
innocent ,নির্দোষ
innovation ,নতুনত্ব
input ,ইনপুট
inquiry ,অনুসন্ধান
insect ,পোকা
inside ,ভিতরে
insist ,জেদ করা
inspection ,পরিদর্শন
inspector ,পরিদর্শক
install ,ইনস্টল
instance ,দৃষ্টান্ত
instant ,তাত্ক্ষণিক
instead ,পরিবর্তে
institute ,ইনস্টিটিউট
institution ,প্রতিষ্ঠান
instruction ,নির্দেশ
instrument ,যন্ত্র
insurance ,বীমা
intellectual ,বৌদ্ধিক
intelligence ,বুদ্ধি
intelligent ,বুদ্ধিমান
intend ,অভিপ্রায়
intense ,তীব্র
intention ,অভিপ্রায়
interaction ,মিথষ্ক্রিয়া
interest ,স্বার্থ
interested ,আগ্রহী
interesting ,মজাদার
internal ,অভ্যন্তরীণ
international ,আন্তর্জাতিক
internet ,ইন্টারনেট
interpret ,ব্যাখ্যা
interpretation ,ব্যাখ্যা
interval ,অন্তর
intervention ,হস্তক্ষেপ
interview ,সাক্ষাত্কার
into ,মধ্যে
introduce ,পরিচয় করিয়ে দেওয়া
introduction ,ভূমিকা
invest ,বিনিয়োগ
investigate ,তদন্ত
investigation ,তদন্ত
investment ,বিনিয়োগ
invite ,আমন্ত্রণ
involve ,জড়িত
involved ,জড়িত
involvement ,জড়িত হওয়া
iron ,লোহা
island ,দ্বীপ
issue ,সমস্যা
it ,এটা
item ,আইটেম
its ,এটি
itself ,নিজেই
