lab ,ল্যাব
label ,লেবেল
laboratory ,পরীক্ষাগার
labour ,শ্রম
lack ,অভাব
lad ,ছেলে
ladder ,মই
lady ,মহিলা
lake ,হ্রদ
lamb ,মেষশাবক
lamp ,বাতি
land ,জমি
landlord ,জমিদার
landscape ,ল্যান্ডস্কেপ
lane ,গলি
language ,ভাষা
large ,বড়
largely ,মূলত
last ,শেষ
late ,দেরী
later ,পরে
latter ,পরবর্তী
laugh ,হাসি
launch ,শুরু করা
law ,আইন
lawyer ,আইনজীবী
lay ,পাড়া
layer ,স্তর
lazy ,অলস
lead ,সীসা
leader ,নেতা
leadership ,নেতৃত্ব
leading ,নেতৃস্থানীয়
leaf ,পাত
league ,লীগ
lean ,রোগা
learn ,শিখুন
least ,কমপক্ষে
leather ,চামড়া
leave ,ছেড়ে দিন
lecture ,বক্তৃতা
left ,বাম
leg ,পা
legal ,আইনী
legislation ,আইন
leisure ,অবসর
lend ,ধার
length ,দৈর্ঘ্য
less ,কম
lesson ,পাঠ
let ,দিন
letter ,চিঠি
level ,স্তর
liberal ,উদার
library ,গ্রন্থাগার
licence ,লাইসেন্স
lick ,চাটুন
lid ,ঢাকনা
lie ,মিথ্যা
life ,জীবন
lift ,উত্তোলন
light ,আলো
lighting ,আলো
like ,পছন্দ
likely ,সম্ভবত
limit ,সীমা
limitation ,সীমাবদ্ধতা
limited ,সীমাবদ্ধ
line ,লাইন
link ,লিঙ্ক
lip ,ঠোঁট
liquid ,তরল
list ,তালিকা
listen ,শোনো
literally ,আক্ষরিক অর্থে
literary ,সাহিত্যিক
literature ,সাহিত্য
little ,সামান্য
live ,লাইভ দেখান
lively ,প্রাণবন্ত
living ,জীবিত
load ,ভার
loan ,loanণ
local ,স্থানীয়
locate ,সনাক্ত
location ,অবস্থান
lock ,লক
log ,লগ
logical ,যৌক্তিক
lonely ,একাকী
long ,দীর্ঘ
long-term ,দীর্ঘ মেয়াদী
look ,চেহারা
loose ,আলগা
lord ,প্রভু
lorry ,লরি
lose ,হারান
loss ,ক্ষতি
lost ,নিখোঁজ
lot ,অনেক
loud ,জোরে
lounge ,লাউঞ্জ
love ,ভালবাসা
lovely ,সুদৃশ্য
lover ,প্রেমিক
low ,কম
lower ,কম
luck ,ভাগ্য
luckily ,ভাগ্যক্রমে
lucky ,ভাগ্যবান
lump ,পিণ্ড
lunch ,মধ্যাহ্নভোজ
