o’clock ,ওক্লক,
object ,অবজেক্ট,
objection ,আপত্তি,
objective ,উদ্দেশ্য,
obligation ,বাধ্যবাধকতা,
observation ,পর্যবেক্ষণ,
observe ,পর্যবেক্ষণ,
obtain ,প্রাপ্ত,
obvious ,স্পষ্ট,
obviously ,স্পষ্টতই,
occasion ,উপলক্ষ,
occasional ,মাঝে মাঝে,
occasionally ,মাঝে মাঝে,
occupation ,পেশা,
occupy ,দখল করা,
occur ,ঘটতে পারে,
ocean ,সমুদ্র,
odd ,অস্বাভাবিক,
odds ,প্রতিকূলতা,
of ,এর,
of course ,অবশ্যই,
off ,বন্ধ,
offence ,অপরাধ,
offer ,অফার,
office ,দপ্তর,
officer ,অফিসার,
official ,দাপ্তরিক,
often ,প্রায়শই,
oil ,তেল,
OK ,ঠিক আছে,
OK  ,ঠিক আছে,
old ,পুরাতন,
on ,চালু,
once ,একদা,
one ,এক,
one another ,একে অন্যকে,
onion ,পেঁয়াজ,
only ,কেবল,
onto ,উপর,
open ,খোলা,
opening ,খোলার,
operate ,পরিচালনা,
operation ,অপারেশন,
operator ,অপারেটর,
opinion ,মতামত,
opponent ,প্রতিপক্ষ,
opportunity ,সুযোগ,
oppose ,বিরোধিতা,
opposite ,বিপরীত,
opposition ,বিরোধী দল,
option ,বিকল্প,
or ,বা,
orange ,কমলা,
order ,অর্ডার,
ordinary ,সাধারণ,
organ ,অঙ্গ,
organic ,জৈব,
organization ,সংগঠন,
organize ,সংগঠিত করা,
organized ,সংগঠিত,
origin ,উত্স,
original ,আসল,
originally ,মূলত,
other ,অন্যান্য,
otherwise ,অন্যথায়,
ought to ,উচিৎ,
ounce ,আউন্স,
our ,আমাদের,
ours ,আমাদের,
ourselves ,আমাদের,
out ,আউট,
outcome ,ফলাফল,
output ,আউটপুট,
outside ,বাইরের,
outstanding ,অসামান্য,
oven ,চুলা,
over ,শেষ,
overall ,সামগ্রিকভাবে,
overcome ,কাটিয়ে ওঠা,
overseas ,বিদেশী,
overtime ,অতিরিক্ত সময়,
owe ,ণী,
own ,নিজস্ব,
owner ,মালিক,
ownership ,মালিকানা,
