table ,টেবিল,
tablet ,ট্যাবলেট,
tackle ,সাজসরঁজাম,
tail ,লেজ,
take ,গ্রহণ করা,
tale ,গল্প,
talent ,প্রতিভা,
talk ,আলাপ,
tall ,লম্বা,
tank ,ট্যাঙ্ক,
tap ,ট্যাপ করুন,
tape ,টেপ,
target ,লক্ষ্য,
task ,টাস্ক,
taste ,স্বাদ,
tax ,কর,
taxi ,ট্যাক্সি,
tea ,চা,
teach ,পড়ান,
teacher ,শিক্ষক,
teaching ,শিক্ষকতা,
team ,টীম,
tear ,টিয়ার,
technical ,প্রযুক্তিগত,
technique ,প্রযুক্তি,
technology ,প্রযুক্তি,
telephone ,টেলিফোন,
television ,টেলিভিশন,
tell ,বলুন,
telly ,টেলি,
temperature ,তাপমাত্রা,
temporary ,অস্থায়ী,
tend ,প্রবণতা,
tendency ,প্রবণতা,
tennis ,টেনিস,
tension ,চিন্তা,
tent ,তাঁবু,
term ,শব্দ,
terrible ,ভয়ানক,
terribly ,ভয়ানকভাবে,
territory ,এলাকা,
terror ,সন্ত্রাস,
terrorist ,সন্ত্রাসী,
test ,পরীক্ষা,
text ,পাঠ্য,
than ,চেয়ে,
thank ,ধন্যবাদ,
thanks ,ধন্যবাদ,
thanks  ,ধন্যবাদ,
that ,যে,
the ,দ্য,
theatre ,থিয়েটার,
their ,তাদের,
theirs ,তাদের,
them ,তাদের,
theme ,থিম,
themselves ,নিজেদের,
then ,তারপর,
theoretical ,তাত্ত্বিক,
theory ,তত্ত্ব,
there ,সেখানে,
therefore ,অতএব,
they ,তারা,
thick ,পুরু,
thin ,পাতলা,
thing ,জিনিস,
think ,ভাবুন,
this ,এই,
though ,যদিও,
thought ,চিন্তা,
threat ,হুমকি,
threaten ,হুমকি,
three ,তিন,
throat ,গলা,
through ,মাধ্যম,
throughout ,জুড়ে,
throw ,নিক্ষেপ,
thus ,এইভাবে,
ticket ,টিকিট,
tidy ,পরিপাটি,
tie ,টাই,
tight ,টাইট,
tile ,টাইল,
till ,অবধি,
time ,সময়,
tin ,টিন,
tiny ,ক্ষুদ্র,
tip ,টিপ,
tired ,ক্লান্ত,
title ,শিরোনাম,
to ,প্রতি,
toast ,টোস্ট,
today ,আজ,
toe ,পায়ের আঙ্গুল,
together ,একসাথে,
toilet ,টয়লেট,
tomato ,টমেটো,
tomorrow ,আগামীকাল,
ton ,টন,
tone ,স্বন,
tongue ,জিহ্বা,
tonight ,আজ রাতে,
too ,খুব,
tool ,টুল,
tooth ,দাঁত,
top ,শীর্ষ,
topic ,বিষয়,
total ,মোট,
totally ,সম্পূর্ণ,
touch ,স্পর্শ,
tough ,শক্ত,
tour ,ভ্রমণ,
tourist ,পর্যটক,
towards ,দিকে,
towel ,তোয়ালে,
tower ,টাওয়ার,
town ,শহর,
toy ,খেলনা,
track ,ট্র্যাক,
trade ,বাণিজ্য,
tradition ,traditionতিহ্য,
traditional ,প্রচলিত,
traffic ,ট্র্যাফিক,
trailer ,লতা,
train ,ট্রেন,
trainer ,প্রশিক্ষক,
training ,প্রশিক্ষণ,
transaction ,লেনদেন,
transfer ,স্থানান্তর,
transform ,রূপান্তর,
transition ,রূপান্তর,
translate ,অনুবাদ করা,
transport ,পরিবহন,
transportation ,পরিবহন,
trash ,আবর্জনা,
travel ,ভ্রমণ,
tray ,ট্রে,
treat ,চিকিত্সা,
treatment ,চিকিত্সা,
treaty ,সন্ধি,
tree ,গাছ,
tremendous ,অসাধারণ,
trend ,প্রবণতা,
trial ,বিচার,
trick ,কৌতুক,
tricky ,কৌশলী,
trip ,ট্রিপ,
troop ,সৈন্যবাহিনী,
trouble ,ঝামেলা,
trousers ,ট্রাউজার্স,
truck ,ট্রাক,
true ,সত্য,
truly ,সত্যই,
trust ,বিশ্বাস,
truth ,সত্য,
try ,চেষ্টা করুন,
tube ,নল,
tune ,সুর,
tunnel ,টানেল,
turn ,মোড়,
twice  ,দুবার,
twist ,পাকান,
type ,প্রকার,
typical ,সাধারণ,
tyre ,পাগড়ি,
