ugly ,কুৎসিত,
ultimate ,চূড়ান্ত,
ultimately ,শেষ পর্যন্ত,
unable ,অক্ষম,
unbelievable ,অবিশ্বাস্য,
uncle ,চাচা,
under ,অধীনে,
underneath ,নিম্নদেশে,
understand ,বোঝা,
understanding ,বোধগম্যতা,
undertake ,হাতে নেওয়া,
unemployed ,বেকার,
unemployment ,বেকারত্ব,
unfair ,অন্যায়,
unfortunate ,দুর্ভাগ্যজনক,
unfortunately ,দুর্ভাগ্যক্রমে,
unhappy ,অসন্তুষ্ট,
uniform ,ইউনিফর্ম,
union ,মিলন,
unique ,অনন্য,
unit ,ইউনিট,
united ,unitedক্যবদ্ধ,
unity ,unityক্য,
universal ,সর্বজনীন,
universe ,বিশ্ব,
university ,বিশ্ববিদ্যালয়,
unknown ,অজানা,
unless ,না হলে,
unlike ,অসদৃশ,
unlikely ,অসম্ভব,
until ,অবধি,
unusual ,অস্বাভাবিক,
up ,আপ,
upon ,উপর,
upper ,উপরের,
upset ,মর্মাহত,
upstairs ,উপরে,
urban ,শহুরে,
urge ,তাড়ন,
urgent ,জরুরি,
us ,আমাদের,
use ,ব্যবহার,
used ,ব্যবহৃত,
used to,অভ্যস্ত,
useful ,দরকারী,
user ,ব্যবহারকারী,
usual ,চলিত,
usually ,সাধারণত,
